headlines,description,catagories
Scotland's leader resigns as he struggles to win support for weakened government,"Scotland's first minister, Humza Yousaf, resigned on Monday rather than face a no-confidence vote just days after he torpedoed a ...",National
Blinken 'hopeful' Hamas will accept 'extraordinarily generous' Gaza deal,"US Secretary of State Antony Blinken said Monday he was hopeful Hamas would accept an ""extraordinarily generous"" offer to halt ...",Economy
NATO chief says 'not too late' for Ukraine to win war,"NATO chief Jens Stoltenberg said Monday it was ""not too late"" for Ukraine to win the war, agreeing with President ...",Economy
Forty-day ceasefire offered to Hamas: UK foreign secretary,"Hamas has been offered a 40-day ceasefire and the release of ""potentially thousands"" of Palestinian prisoners in return for freeing ...",Economy
At least 45 die as dam bursts in flood-hit Kenya,"At least 45 people lost their lives when a dam burst its banks near a town in Kenya's Rift Valley, ...",Economy
Hamas delegation due in Egypt for Gaza truce talks,"A Hamas delegation was due Monday in Egypt, where it will respond to Israel's latest proposal for a long-sought truce ...",Economy
Myanmar records hottest ever April temperature of 48.2C,"Myanmar recorded its hottest ever April temperature of 48.2 degrees Celsius (118.76 Fahrenheit), authorities said Monday, as the Southeast Asian ...",Economy
"Israel kills 20 Palestinians in Rafah, new Gaza ceasefire talks expected in Cairo","At least 20 Palestinians, including five children, were killed and many others injured in Israeli airstrikes targeting three houses in ...",Economy
"Mexico bus crash leaves 14 dead, 31 injured","At least 14 people died and 31 others were injured in a road Entertainment in Mexico on Sunday, the authorities ...",Economy
College student killed in B'baria road crash,A college student was killed in a road crash in Brahmanbaria on Monday morning.,National
Cox's Bazar road crash: Death toll rises to 5,"The death toll from a road Entertainment in Cox's Bazar has risen to five after another victim succumbed to injuries on Monday, reports UNB.",National
"MV Abdullah, with 23 crew on board, leaves UAE for home","Bangladeshi cargo vessel MV Abdullah, with 23 crew members on board, left the United Arab Emirates (UAE) for home on Sunday night.",National
Dhaka’s air quality 5th worst in the world Tuesday morning,"Dhaka ranked fifth among cities with the worst air quality in the world on Tuesday morning, according to the Air Visual report.",National
Sujon thinks Jesy isn't experienced enough to officiate DPL matches,Former Bangladesh cricketer Khaled Mahmud Sujon expressed his Health     on the recent appointment of Jessy as a match referee in the Dhaka Premier League (DPL).,Sports
"Austria offers to take Bangladeshi skilled workers, invest in green energy","Austria has offered to take skilled workers from Bangladesh and make investments in green energy, said Foreign Minister Dr. AK Abdul Momen.",Economy
AL leader Ashraf among 33 indicted in Tipu-Preeti murder case,"A tribunal has framed charges against 33 people, including Awami League leader and former Agriculturemaker Rana Mohammad Sohel alias Rana Ashraf, in the ...",Entertainment & Court
Stop hiking medicine prices whimsically: HC,The High Court on Monday asked the authorities concerned to stop increasing the prices of medicines whimsically.,Health
HC orders all schools and madrasas closure till Thursday,"The High Court on Monday directed the government to keep all educational institutions, including schools and madrasas, closed till Thursday.",Education
Ex-banker jailed for 26yrs in graft case,A Dhaka court on Monday sentenced a former bank manager to 26 years’ imprisonment in a graft case.,Entertainment & Court
Formulate policy for transfer of private institution teachers: HC,The High Court on Monday asked the government to formulate a policy within six months for the transfer of teachers of private educational institutions.,Education
Indictment hearing in two cases against Khaleda July 21,A Dhaka court on Monday set July 21 for the indictment hearing in two cases against BNP Chairperson Khaleda Zia.,Entertainment & Court
"Schools, colleges in 5 districts closed on Monday",The government has ordered the closure of all educational institutions in five districts of the country on Monday due to the heatwave.,Education
School student dies of 'heat stroke' in Noakhali,A school student died of a heatstroke in Noakhali on Sunday.,Health
Man killed in police firing over Dinajpur polls violence,A man was killed in police firing during a clash between two groups of Awami League over establishing supremacy in the upcoming upazila election in Dinajpur on Sunday.,Entertainment & Court
3-day US-BD Sports show opens in city May 9,The United States-Bangladesh Sports Show will be held in the capital from May 9 to May 11.,Business
France charges Daesh official's ex-wife with Entertainments against humanity,France has charged the ex-wife of a top Daesh official with Entertainments against humanity on suspicion of enslaving a teenage ...,Economy
Aerial photos show wide devastation left by tornado in China's Guangzhou,Aerial photos posted by Chinese state media on April 28 showed the wide devastation of a part of the southern ...,Economy
How TikTok grew from a fun app for teens into a potential national security threat,"If it feels like TikTok has been around forever, that's probably because it has, at least if you're measuring via ...",Technology
Nowfel to file appeal against HC order on school closure,Education Minister Mohibul Hasan Chowdhury Nowfel has said he would file an appeal petition seeking withdrawal of the directive on ...,"Education, Politics"
"Schools, colleges in 5 districts closed on Monday","All secondary level schools, colleges, madrasas and technical education institutions are remain shut in five districts on Monday due to ...",Education
SSC results to be published in the second week of May,The results of this year's Secondary School Certificate (SSC) and equivalent exams are expected to be published in the second ...,Education
"Schools, colleges reopen amid intense heatwave","All the primary schools, high schools and colleges reopened on Sunday (April 28) amid intense heatwave.But pre-primary level classes will ...",Education
"Primary, secondary schools, colleges to open Sunday","All the primary schools, high schools and colleges across the country will be reopened on Sunday after one week of ...",Education
NU affiliated colleges to resume classes from Sunday,Academic activities at all colleges under National University (NU) will resume from Sunday a week after those were shut due ...,Education
ADB country director appreciates growing involvement of Bangladesh in global economy,The Asian Educational Bank (ADB) Country Director for Bangladesh Edimon Ginting appreciated the growing involvement of Bangladesh in the global ...,Economy
"Gold price drops again by Tk 1,155 per bhori","Bangladesh Jeweller’s Association (BAJUS) has reduced the gold price by Tk 1,155 per bhori (11.664 grams) on Monday afternoon due ...","Business, Economy"
IMF advises BB to disclose full report on banks’ financial health,The visiting Economy Monetary Fund (IMF) delegation has advised Bangladesh Bank (BB) to disclose detailed and complete information regarding bad ...,"Business, Economy"
